study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days
NCT100494,Salbutamol,Alzheimer'S Disease,Novartis,2021-02-25,2024-10-26,Phase 3,Terminated,1.0,1339.0
NCT100495,Trastuzumab,Asthma,Novartis,2020-12-15,2024-10-17,Phase 4,Terminated,1.0,1402.0
NCT100496,Salbutamol,Breast Cancer,Moderna,2020-08-10,2024-10-06,Phase 1,Recruiting,1.0,1518.0
NCT100497,Salbutamol,Covid-19,Pfizer,2024-03-19,2025-05-18,Phase 1,Recruiting,1.0,425.0
NCT100498,Aspirin,Covid-19,Novartis,2024-05-27,2025-02-16,Phase 2,Recruiting,1.0,265.0
NCT100499,Trastuzumab,Covid-19,Pfizer,2022-10-24,2024-09-21,,Terminated,0.875,698.0
NCT100500,Remdesivir,Hypertension,Astrazeneca,2022-04-21,,,Withdrawn,0.75,
NCT100501,Remdesivir,Covid-19,Astrazeneca,2024-08-01,2025-03-19,,Withdrawn,0.875,230.0
NCT100502,Metformin,Alzheimer'S Disease,Sanofi,2022-04-07,2025-05-04,Phase 4,Terminated,1.0,1123.0
NCT100503,Aspirin,Hypertension,Gsk,2022-03-03,2024-11-04,Phase 4,Completed,1.0,977.0
NCT100504,,Hypertension,Astrazeneca,2021-11-23,2024-09-22,Phase 3,Terminated,0.875,1034.0
NCT100505,Metformin,Diabetes,Gsk,2022-12-08,2025-07-08,Phase 1,Withdrawn,1.0,943.0
NCT100506,Remdesivir,Asthma,Pfizer,2023-09-07,2024-12-14,Phase 1,Withdrawn,1.0,464.0
NCT100507,,Covid-19,Novartis,2021-06-18,2025-02-14,Phase 3,Recruiting,0.875,1337.0
NCT100508,Aspirin,Covid-19,Sanofi,2024-03-23,,Phase 3,Completed,0.875,
NCT100509,Metformin,Breast Cancer,Pfizer,2021-09-11,2025-03-25,Phase 3,Recruiting,1.0,1291.0
NCT100510,Donepezil,,Gsk,2022-02-10,2025-04-28,Phase 1,Terminated,0.875,1173.0
NCT100511,Trastuzumab,Diabetes,Novartis,2023-03-07,2024-09-11,,Completed,0.875,554.0
NCT100512,Remdesivir,Alzheimer'S Disease,Sanofi,2022-03-11,2024-08-10,Phase 2,Withdrawn,1.0,883.0
NCT100513,Donepezil,Asthma,Sanofi,2023-11-24,2025-03-12,,Terminated,0.875,474.0
NCT100514,Donepezil,Alzheimer'S Disease,Pfizer,2023-07-10,2024-08-11,Phase 4,Recruiting,1.0,398.0
NCT100515,Remdesivir,Asthma,Moderna,2022-10-22,2025-05-23,Phase 3,Completed,1.0,944.0
NCT100516,Metformin,Breast Cancer,Novartis,2023-04-13,2024-11-29,Phase 3,Withdrawn,1.0,596.0
NCT100517,Metformin,Asthma,Sanofi,2022-02-26,2025-02-24,Phase 4,Recruiting,1.0,1094.0
NCT100518,Salbutamol,Covid-19,Astrazeneca,2024-06-17,,Phase 1,Withdrawn,0.875,
NCT100519,Salbutamol,Hypertension,Sanofi,2020-11-09,2024-12-05,,Recruiting,0.875,1487.0
NCT100520,Aspirin,Asthma,Astrazeneca,2023-05-21,2024-08-09,Phase 1,Terminated,1.0,446.0
NCT100521,Salbutamol,Covid-19,Sanofi,2022-01-29,2024-09-18,Phase 1,Withdrawn,1.0,963.0
NCT100522,Trastuzumab,Hypertension,Gsk,2023-04-11,,,Withdrawn,0.75,
NCT100523,Remdesivir,Alzheimer'S Disease,Gsk,2023-08-25,,Phase 1,Recruiting,0.875,
NCT100524,Trastuzumab,Alzheimer'S Disease,Astrazeneca,2021-01-17,2024-12-17,Phase 4,Terminated,1.0,1430.0
NCT100525,Aspirin,,Pfizer,2022-06-25,,Phase 4,Completed,0.75,
NCT100526,Remdesivir,,Novartis,2022-01-29,2024-10-13,Phase 3,Terminated,0.875,988.0
NCT100527,Aspirin,Diabetes,Novartis,2021-10-22,,Phase 1,Recruiting,0.875,
NCT100528,Metformin,Covid-19,Sanofi,2022-02-26,2025-05-25,Phase 3,Withdrawn,1.0,1184.0
NCT100529,Aspirin,Asthma,Astrazeneca,2021-05-16,2025-01-30,Phase 4,Recruiting,1.0,1355.0
NCT100530,,Diabetes,Gsk,2020-11-12,2024-10-08,,Completed,0.75,1426.0
NCT100531,Aspirin,Breast Cancer,Astrazeneca,2022-07-28,2024-11-13,Phase 4,Withdrawn,1.0,839.0
NCT100532,Trastuzumab,Hypertension,Novartis,2024-06-24,,Phase 2,Terminated,0.875,
NCT100533,Salbutamol,Hypertension,Novartis,2023-11-12,,Phase 4,Recruiting,0.875,
NCT100534,Metformin,Alzheimer'S Disease,Pfizer,2023-02-06,2024-12-12,,Withdrawn,0.875,675.0
NCT100535,Remdesivir,Breast Cancer,Pfizer,2024-05-17,2025-07-14,Phase 1,Recruiting,1.0,423.0
NCT100536,Aspirin,Alzheimer'S Disease,Pfizer,2022-07-15,2024-10-12,Phase 4,Terminated,1.0,820.0
NCT100537,Remdesivir,Breast Cancer,Gsk,2024-03-05,2025-01-30,Phase 1,Terminated,1.0,331.0
NCT100538,Metformin,Alzheimer'S Disease,Astrazeneca,2022-12-06,,Phase 2,Recruiting,0.875,
NCT100539,Aspirin,Breast Cancer,Moderna,2023-11-13,,Phase 3,Recruiting,0.875,
NCT100540,Aspirin,Breast Cancer,Novartis,2023-03-13,,Phase 4,Completed,0.875,
NCT100541,Remdesivir,Breast Cancer,Moderna,2022-10-10,2025-04-30,Phase 4,Withdrawn,1.0,933.0
NCT100542,Aspirin,Covid-19,Sanofi,2024-04-24,2025-02-16,,Terminated,0.875,298.0
NCT100543,Metformin,Covid-19,Novartis,2021-10-09,2024-09-11,Phase 1,Withdrawn,1.0,1068.0
NCT100544,Trastuzumab,Alzheimer'S Disease,Gsk,2020-10-31,2024-10-29,Phase 4,Recruiting,1.0,1459.0
NCT100545,Trastuzumab,Breast Cancer,Pfizer,2022-08-16,,Phase 3,Completed,0.875,
NCT100546,Trastuzumab,Alzheimer'S Disease,Gsk,2021-11-01,2025-06-01,Phase 2,Withdrawn,1.0,1308.0
NCT100547,Remdesivir,,Moderna,2024-04-07,2025-06-17,,Recruiting,0.75,436.0
NCT100548,Metformin,Breast Cancer,Pfizer,2021-04-16,2024-10-30,Phase 3,Completed,1.0,1293.0
NCT100549,Metformin,Alzheimer'S Disease,Pfizer,2021-11-29,2025-05-29,Phase 2,Completed,1.0,1277.0
NCT100550,Remdesivir,Breast Cancer,Novartis,2024-06-19,2025-01-09,Phase 3,Completed,1.0,204.0
NCT100551,Aspirin,Covid-19,Pfizer,2021-07-15,2024-11-02,Phase 2,Completed,1.0,1206.0
NCT100552,Metformin,Covid-19,Novartis,2021-06-30,2025-05-18,Phase 3,Recruiting,1.0,1418.0
NCT100553,Remdesivir,Asthma,Moderna,2020-11-16,2024-08-15,Phase 2,Completed,1.0,1368.0
NCT100554,Metformin,Breast Cancer,Novartis,2022-04-08,2025-07-22,Phase 2,Recruiting,1.0,1201.0
NCT100555,Remdesivir,Hypertension,Gsk,2022-09-11,2025-04-26,Phase 3,Terminated,1.0,958.0
NCT100556,Remdesivir,Alzheimer'S Disease,Moderna,2023-04-22,2025-05-31,,Completed,0.875,770.0
NCT100557,Donepezil,Breast Cancer,Gsk,2023-02-25,2025-02-08,Phase 3,Withdrawn,1.0,714.0
NCT100558,Donepezil,Alzheimer'S Disease,Astrazeneca,2023-11-03,,Phase 2,Recruiting,0.875,
NCT100559,Salbutamol,Diabetes,Sanofi,2022-05-25,2025-08-03,,Withdrawn,0.875,1166.0
NCT100560,Salbutamol,Hypertension,Astrazeneca,2021-04-23,2024-08-13,Phase 4,Withdrawn,1.0,1208.0
NCT100561,Remdesivir,Breast Cancer,Novartis,2024-07-01,2025-04-10,Phase 1,Completed,1.0,283.0
NCT100562,Metformin,Asthma,Pfizer,2020-12-26,2025-03-31,,Terminated,0.875,1556.0
NCT100563,Trastuzumab,Breast Cancer,Gsk,2021-12-10,,,Terminated,0.75,
NCT100564,Trastuzumab,,Astrazeneca,2022-04-13,2025-03-04,Phase 4,Recruiting,0.875,1056.0
NCT100565,Salbutamol,Breast Cancer,Pfizer,2020-12-01,2025-01-29,Phase 3,Terminated,1.0,1520.0
NCT100566,Donepezil,Asthma,Astrazeneca,2021-12-13,2024-12-13,,Completed,0.875,1096.0
NCT100567,Aspirin,Diabetes,Sanofi,2023-10-20,2025-03-01,Phase 2,Withdrawn,1.0,498.0
NCT100568,Remdesivir,Breast Cancer,Sanofi,2022-11-15,2025-05-14,,Withdrawn,0.875,911.0
NCT100569,Metformin,Hypertension,Pfizer,2021-06-01,2025-07-14,Phase 1,Withdrawn,1.0,1504.0
NCT100570,Salbutamol,Alzheimer'S Disease,Pfizer,2022-03-03,2025-06-24,Phase 4,Recruiting,1.0,1209.0
NCT100571,Salbutamol,Alzheimer'S Disease,Moderna,2024-05-15,2025-07-25,Phase 1,Withdrawn,1.0,436.0
NCT100572,Salbutamol,Covid-19,Sanofi,2020-12-08,,,Completed,0.75,
NCT100573,Metformin,Hypertension,Pfizer,2022-05-25,2024-10-26,Phase 1,Terminated,1.0,885.0
NCT100574,Donepezil,Breast Cancer,Gsk,2021-11-12,2024-11-29,,Terminated,0.875,1113.0
NCT100575,Salbutamol,Alzheimer'S Disease,Novartis,2023-06-15,2024-12-29,,Recruiting,0.875,563.0
NCT100576,Metformin,Diabetes,Moderna,2023-07-23,2024-08-21,Phase 4,Recruiting,1.0,395.0
NCT100577,Salbutamol,Asthma,Moderna,2022-05-22,2024-10-14,Phase 4,Terminated,1.0,876.0
NCT100578,Salbutamol,Hypertension,Gsk,2021-12-26,2025-03-05,Phase 3,Terminated,1.0,1165.0
NCT100579,Salbutamol,Alzheimer'S Disease,Moderna,2023-05-22,,Phase 1,Terminated,0.875,
NCT100580,Trastuzumab,Diabetes,Novartis,2024-04-22,2024-11-09,Phase 2,Completed,1.0,201.0
NCT100581,Salbutamol,Breast Cancer,Pfizer,2021-04-21,,Phase 4,Withdrawn,0.875,
NCT100582,Remdesivir,Diabetes,Astrazeneca,2020-11-28,,Phase 2,Recruiting,0.875,
NCT100583,Salbutamol,Asthma,Gsk,2021-06-03,2025-05-30,Phase 2,Completed,1.0,1457.0
NCT100584,Donepezil,Hypertension,Astrazeneca,2022-01-16,2024-08-18,Phase 2,Completed,1.0,945.0
NCT100585,Remdesivir,Diabetes,Sanofi,2023-04-03,,,Recruiting,0.75,
NCT100586,,Breast Cancer,Pfizer,2021-02-08,2024-09-06,Phase 1,Completed,0.875,1306.0
NCT100587,Trastuzumab,Breast Cancer,Novartis,2024-02-22,2024-09-06,Phase 4,Withdrawn,1.0,197.0
NCT100588,Salbutamol,Hypertension,Novartis,2023-06-20,,,Recruiting,0.75,
NCT100589,Metformin,Hypertension,Novartis,2024-04-06,2024-09-11,Phase 1,Terminated,1.0,158.0
NCT100590,Aspirin,Hypertension,Sanofi,2020-11-29,2025-07-08,Phase 1,Withdrawn,1.0,1682.0
NCT100591,Donepezil,Asthma,Astrazeneca,2023-06-15,2024-12-04,Phase 3,Withdrawn,1.0,538.0
NCT100592,Salbutamol,Asthma,Astrazeneca,2020-11-23,2024-12-05,Phase 3,Withdrawn,1.0,1473.0
NCT100593,Aspirin,Hypertension,Moderna,2024-01-21,2024-08-13,Phase 1,Withdrawn,1.0,205.0
NCT100594,Aspirin,Covid-19,Moderna,2020-10-08,2024-10-19,Phase 3,Terminated,1.0,1472.0
NCT100595,Trastuzumab,Breast Cancer,Sanofi,2022-06-08,2024-12-23,Phase 4,Terminated,1.0,929.0
NCT100596,,Covid-19,Moderna,2022-03-17,2025-04-24,,Withdrawn,0.75,1134.0
NCT100597,Aspirin,Hypertension,Astrazeneca,2021-11-07,2025-03-22,,Terminated,0.875,1231.0
NCT100598,Salbutamol,Asthma,Pfizer,2022-07-03,2024-09-03,,Withdrawn,0.875,793.0
NCT100599,,Hypertension,Moderna,2022-03-16,2025-01-21,Phase 1,Completed,0.875,1042.0
NCT100600,Aspirin,Alzheimer'S Disease,Pfizer,2022-08-30,2024-08-20,Phase 4,Completed,1.0,721.0
NCT100601,Remdesivir,Hypertension,Sanofi,2023-02-19,,Phase 4,Terminated,0.875,
NCT100602,Trastuzumab,Covid-19,Moderna,2024-07-02,2025-01-11,Phase 1,Terminated,1.0,193.0
NCT100603,,Alzheimer'S Disease,Sanofi,2023-12-07,2025-06-20,,Terminated,0.75,561.0
NCT100604,Donepezil,Hypertension,Novartis,2021-08-15,2025-03-08,,Completed,0.875,1301.0
NCT100605,Salbutamol,Diabetes,Sanofi,2023-02-11,2024-12-13,Phase 4,Recruiting,1.0,671.0
NCT100606,Metformin,Breast Cancer,Gsk,2021-02-13,2024-10-19,,Completed,0.875,1344.0
NCT100607,Metformin,Diabetes,Gsk,2023-02-18,2024-08-06,Phase 3,Withdrawn,1.0,535.0
NCT100608,Metformin,Breast Cancer,Astrazeneca,2020-10-17,2024-12-22,Phase 1,Withdrawn,1.0,1527.0
NCT100609,,Hypertension,Moderna,2023-12-25,2025-03-08,Phase 1,Completed,0.875,439.0
NCT100610,Aspirin,Asthma,Novartis,2022-11-02,2024-09-09,,Completed,0.875,677.0
NCT100611,Remdesivir,Asthma,Astrazeneca,2022-08-01,2025-03-26,Phase 1,Withdrawn,1.0,968.0
NCT100612,Aspirin,Diabetes,Astrazeneca,2023-03-31,2025-03-25,,Recruiting,0.875,725.0
NCT100613,Remdesivir,Breast Cancer,Pfizer,2021-04-11,,,Recruiting,0.75,
NCT100614,,Asthma,Moderna,2021-01-21,2025-01-21,Phase 4,Withdrawn,0.875,1461.0
NCT100615,Donepezil,Alzheimer'S Disease,Gsk,2022-11-07,2025-05-08,Phase 4,Recruiting,1.0,913.0
NCT100616,Aspirin,Covid-19,Sanofi,2023-04-13,2024-09-28,Phase 3,Recruiting,1.0,534.0
NCT100617,Aspirin,Asthma,Sanofi,2023-01-02,2025-01-07,,Withdrawn,0.875,736.0
NCT100618,Donepezil,Hypertension,Pfizer,2024-03-02,2024-11-20,Phase 1,Recruiting,1.0,263.0
NCT100619,Salbutamol,Alzheimer'S Disease,Gsk,2023-11-25,2025-04-07,Phase 2,Completed,1.0,499.0
NCT100620,Donepezil,Covid-19,Sanofi,2021-08-08,2025-02-27,Phase 1,Completed,1.0,1299.0
NCT100621,Remdesivir,Asthma,Astrazeneca,2023-06-08,2024-11-27,Phase 4,Withdrawn,1.0,538.0
NCT100622,Remdesivir,Asthma,Gsk,2021-07-18,2024-12-01,Phase 1,Withdrawn,1.0,1232.0
NCT100623,Trastuzumab,Covid-19,Moderna,2021-11-30,2025-05-11,,Terminated,0.875,1258.0
NCT100624,Remdesivir,Hypertension,Moderna,2023-09-16,2025-04-21,,Terminated,0.875,583.0
NCT100625,Remdesivir,Hypertension,Moderna,2022-05-22,2025-07-14,Phase 1,Terminated,1.0,1149.0
NCT100626,Donepezil,Asthma,Pfizer,2021-01-26,2024-10-07,Phase 3,Recruiting,1.0,1350.0
NCT100627,Salbutamol,Alzheimer'S Disease,Gsk,2022-06-17,2024-12-18,,Completed,0.875,915.0
NCT100628,Trastuzumab,Asthma,Moderna,2023-11-24,,Phase 3,Withdrawn,0.875,
NCT100629,Remdesivir,Breast Cancer,Novartis,2021-09-16,2024-10-17,Phase 3,Withdrawn,1.0,1127.0
NCT100630,Salbutamol,Hypertension,Sanofi,2023-01-09,2024-08-27,Phase 1,Terminated,1.0,596.0
NCT100631,Trastuzumab,Alzheimer'S Disease,Pfizer,2023-10-24,2025-06-28,Phase 4,Terminated,1.0,613.0
NCT100632,Remdesivir,Diabetes,Pfizer,2022-07-29,2025-06-02,Phase 3,Completed,1.0,1039.0
NCT100633,Remdesivir,Breast Cancer,Astrazeneca,2021-01-27,2025-03-19,Phase 2,Withdrawn,1.0,1512.0
NCT100634,Salbutamol,Alzheimer'S Disease,Pfizer,2024-06-03,2025-06-23,Phase 1,Recruiting,1.0,385.0
NCT100635,Metformin,Breast Cancer,Sanofi,2021-01-26,2025-03-15,Phase 4,Withdrawn,1.0,1509.0
NCT100636,Donepezil,Hypertension,Astrazeneca,2024-02-03,2024-10-15,Phase 3,Terminated,1.0,255.0
NCT100637,Trastuzumab,Covid-19,Moderna,2021-05-04,2025-04-16,Phase 3,Recruiting,1.0,1443.0
NCT100638,Aspirin,Asthma,Moderna,2024-07-05,2025-03-26,Phase 3,Withdrawn,1.0,264.0
NCT100639,Trastuzumab,Alzheimer'S Disease,Novartis,2023-11-06,,,Terminated,0.75,
NCT100640,Aspirin,Hypertension,Astrazeneca,2021-04-08,2025-04-22,Phase 1,Completed,1.0,1475.0
NCT100641,Salbutamol,Breast Cancer,Astrazeneca,2023-07-27,2025-03-26,Phase 4,Withdrawn,1.0,608.0
NCT100642,Trastuzumab,Covid-19,Novartis,2023-12-08,2025-04-16,Phase 4,Withdrawn,1.0,495.0
NCT100643,Trastuzumab,Hypertension,Sanofi,2023-03-28,,,Withdrawn,0.75,
NCT100644,Aspirin,Breast Cancer,Astrazeneca,2022-04-04,,Phase 4,Recruiting,0.875,
NCT100645,Remdesivir,Diabetes,Novartis,2020-09-10,2025-01-07,Phase 3,Recruiting,1.0,1580.0
NCT100646,Salbutamol,Asthma,Sanofi,2021-02-02,2024-10-19,Phase 4,Completed,1.0,1355.0
NCT100647,Aspirin,Alzheimer'S Disease,Pfizer,2023-09-03,2024-11-28,Phase 1,Recruiting,1.0,452.0
NCT100648,Salbutamol,Hypertension,Novartis,2020-10-09,,Phase 4,Terminated,0.875,
NCT100649,Salbutamol,Asthma,Sanofi,2021-09-13,2025-04-07,,Recruiting,0.875,1302.0
NCT100650,Trastuzumab,Asthma,Gsk,2024-01-26,2024-12-07,Phase 1,Withdrawn,1.0,316.0
NCT100651,Metformin,Covid-19,Sanofi,2022-01-11,,Phase 2,Completed,0.875,
NCT100652,Aspirin,Alzheimer'S Disease,Pfizer,2021-06-09,2024-10-16,Phase 4,Completed,1.0,1225.0
NCT100653,Salbutamol,Hypertension,Astrazeneca,2021-06-28,,Phase 3,Terminated,0.875,
NCT100654,Metformin,Asthma,Novartis,2022-10-14,2024-10-19,Phase 2,Withdrawn,1.0,736.0
NCT100655,Metformin,Diabetes,Sanofi,2024-03-05,2025-01-06,Phase 3,Recruiting,1.0,307.0
NCT100656,Remdesivir,Asthma,Novartis,2021-08-03,2024-11-13,Phase 2,Terminated,1.0,1198.0
NCT100657,Trastuzumab,Asthma,Pfizer,2023-08-28,2024-12-28,Phase 2,Withdrawn,1.0,488.0
NCT100658,Remdesivir,Breast Cancer,Moderna,2021-09-23,2024-09-05,,Withdrawn,0.875,1078.0
NCT100659,Donepezil,Hypertension,Astrazeneca,2022-04-10,,,Recruiting,0.75,
NCT100660,Aspirin,Alzheimer'S Disease,Moderna,2021-09-15,2025-06-24,Phase 3,Recruiting,1.0,1378.0
NCT100661,Trastuzumab,Alzheimer'S Disease,Novartis,2023-01-02,2024-08-16,Phase 3,Completed,1.0,592.0
NCT100662,,Hypertension,Novartis,2021-08-17,2025-08-04,,Terminated,0.75,1448.0
NCT100663,Aspirin,Asthma,Gsk,2022-01-19,2025-02-06,Phase 3,Recruiting,1.0,1114.0
NCT100664,Donepezil,Alzheimer'S Disease,Moderna,2024-05-03,,Phase 1,Withdrawn,0.875,
NCT100665,Remdesivir,Breast Cancer,Novartis,2022-03-23,2024-08-16,,Completed,0.875,877.0
NCT100666,Donepezil,Covid-19,Pfizer,2022-04-15,2025-04-24,,Completed,0.875,1105.0
NCT100667,Metformin,Alzheimer'S Disease,Moderna,2021-10-10,2025-06-07,Phase 4,Withdrawn,1.0,1336.0
NCT100668,Metformin,Diabetes,Astrazeneca,2023-04-10,2024-09-03,Phase 4,Terminated,1.0,512.0
NCT100669,Donepezil,Breast Cancer,Pfizer,2022-11-29,,Phase 1,Recruiting,0.875,
NCT100670,Remdesivir,Asthma,Pfizer,2022-12-26,2025-06-06,,Completed,0.875,893.0
NCT100671,Salbutamol,Asthma,Pfizer,2022-05-02,2025-01-25,Phase 4,Recruiting,1.0,999.0
NCT100672,Donepezil,Covid-19,Sanofi,2022-08-10,2024-10-06,,Terminated,0.875,788.0
NCT100673,Donepezil,Breast Cancer,Pfizer,2021-04-05,,Phase 1,Terminated,0.875,
NCT100674,Aspirin,Alzheimer'S Disease,Sanofi,2023-06-24,2024-08-20,Phase 2,Withdrawn,1.0,423.0
NCT100675,Metformin,Covid-19,Moderna,2022-12-10,2025-06-23,Phase 3,Withdrawn,1.0,926.0
NCT100676,Remdesivir,Covid-19,Gsk,2021-11-06,2024-10-19,Phase 4,Withdrawn,1.0,1078.0
NCT100677,Aspirin,Hypertension,Pfizer,2023-05-22,2024-08-06,Phase 1,Terminated,1.0,442.0
NCT100678,Salbutamol,Covid-19,Astrazeneca,2022-10-01,2025-06-17,Phase 1,Terminated,1.0,990.0
NCT100679,Metformin,Covid-19,Sanofi,2020-11-24,,Phase 3,Completed,0.875,
NCT100680,Salbutamol,Alzheimer'S Disease,Moderna,2021-05-08,2025-05-15,Phase 4,Completed,1.0,1468.0
NCT100681,Trastuzumab,Breast Cancer,Sanofi,2023-07-15,2025-03-26,Phase 3,Terminated,1.0,620.0
NCT100682,Remdesivir,Breast Cancer,Gsk,2021-07-02,,,Terminated,0.75,
NCT100683,Metformin,Breast Cancer,Astrazeneca,2021-10-18,2024-08-31,Phase 4,Withdrawn,1.0,1048.0
NCT100684,Aspirin,Hypertension,Sanofi,2020-12-08,2024-10-17,Phase 4,Withdrawn,1.0,1409.0
NCT100685,Metformin,Alzheimer'S Disease,Novartis,2023-08-30,2025-07-27,Phase 3,Withdrawn,1.0,697.0
NCT100686,Remdesivir,Asthma,Moderna,2024-06-08,2024-11-04,Phase 4,Completed,1.0,149.0
NCT100687,Donepezil,Diabetes,Novartis,2021-05-12,2024-12-28,Phase 3,Terminated,1.0,1326.0
NCT100688,Donepezil,Hypertension,Astrazeneca,2022-06-09,,Phase 1,Withdrawn,0.875,
NCT100689,Aspirin,Covid-19,Pfizer,2023-01-28,,,Withdrawn,0.75,
NCT100690,,Hypertension,Pfizer,2022-07-12,2025-06-07,Phase 4,Completed,0.875,1061.0
NCT100691,Salbutamol,Alzheimer'S Disease,Sanofi,2022-07-20,2025-05-04,Phase 4,Recruiting,1.0,1019.0
NCT100692,Aspirin,,Sanofi,2023-03-14,,Phase 2,Withdrawn,0.75,
NCT100693,Aspirin,Alzheimer'S Disease,Pfizer,2021-10-15,,,Completed,0.75,
NCT100694,Remdesivir,Breast Cancer,Sanofi,2020-09-15,2025-08-01,Phase 3,Terminated,1.0,1781.0
NCT100695,Metformin,Hypertension,Astrazeneca,2024-03-16,2025-04-28,,Recruiting,0.875,408.0
NCT100696,Salbutamol,Diabetes,Sanofi,2022-12-16,2025-04-25,Phase 2,Terminated,1.0,861.0
NCT100697,Aspirin,Alzheimer'S Disease,Moderna,2024-07-06,2025-03-05,Phase 1,Completed,1.0,242.0
NCT100698,Aspirin,,Gsk,2022-02-14,2024-09-15,Phase 3,Terminated,0.875,944.0
NCT100699,Trastuzumab,Breast Cancer,Gsk,2022-07-05,2024-10-08,Phase 1,Recruiting,1.0,826.0
NCT100700,Aspirin,Alzheimer'S Disease,Gsk,2022-11-12,2025-04-07,Phase 4,Recruiting,1.0,877.0
NCT100701,Donepezil,Covid-19,Sanofi,2021-08-07,2025-05-15,,Terminated,0.875,1377.0
NCT100702,Donepezil,Covid-19,Moderna,2023-06-14,2024-08-24,Phase 3,Recruiting,1.0,437.0
NCT100703,Metformin,Hypertension,Gsk,2024-03-04,2024-10-30,Phase 4,Withdrawn,1.0,240.0
NCT100704,Donepezil,Alzheimer'S Disease,Gsk,2021-09-17,2025-03-23,Phase 2,Withdrawn,1.0,1283.0
NCT100705,Salbutamol,Diabetes,Pfizer,2024-04-16,,,Withdrawn,0.75,
NCT100706,Salbutamol,Breast Cancer,Astrazeneca,2023-11-20,2025-03-18,Phase 1,Withdrawn,1.0,484.0
NCT100707,Aspirin,Diabetes,Pfizer,2024-02-04,2025-06-27,,Withdrawn,0.875,509.0
NCT100708,Metformin,Alzheimer'S Disease,Pfizer,2021-10-16,2025-05-14,,Completed,0.875,1306.0
NCT100709,Metformin,Diabetes,Novartis,2023-07-10,2025-03-12,,Completed,0.875,611.0
NCT100710,Trastuzumab,Asthma,Pfizer,2022-11-06,2025-02-28,Phase 4,Recruiting,1.0,845.0
NCT100711,Remdesivir,Hypertension,Moderna,2024-04-14,2025-05-25,Phase 1,Completed,1.0,406.0
NCT100712,,Asthma,Moderna,2024-04-17,,Phase 2,Withdrawn,0.75,
NCT100713,Trastuzumab,Breast Cancer,Moderna,2022-06-21,2025-04-03,Phase 1,Withdrawn,1.0,1017.0
NCT100714,Trastuzumab,Diabetes,Novartis,2024-01-02,2025-06-22,,Terminated,0.875,537.0
NCT100715,Metformin,Alzheimer'S Disease,Novartis,2021-01-29,,Phase 2,Completed,0.875,
NCT100716,Aspirin,,Novartis,2023-08-20,2024-12-02,,Recruiting,0.75,470.0
NCT100717,,Diabetes,Gsk,2022-12-29,2025-06-03,Phase 1,Terminated,0.875,887.0
NCT100718,Salbutamol,Hypertension,Gsk,2024-01-10,2024-11-09,Phase 1,Recruiting,1.0,304.0
NCT100719,Remdesivir,Breast Cancer,Novartis,2021-08-31,,Phase 2,Terminated,0.875,
NCT100720,Metformin,Alzheimer'S Disease,Astrazeneca,2023-03-31,2024-11-29,Phase 3,Withdrawn,1.0,609.0
NCT100721,Trastuzumab,Covid-19,Gsk,2021-08-29,2024-11-24,Phase 3,Terminated,1.0,1183.0
NCT100722,Donepezil,Alzheimer'S Disease,Sanofi,2023-06-25,2025-04-10,,Withdrawn,0.875,655.0
NCT100723,Metformin,Breast Cancer,Moderna,2020-10-30,,Phase 4,Completed,0.875,
NCT100724,Metformin,Covid-19,Sanofi,2023-05-27,2025-04-11,Phase 1,Terminated,1.0,685.0
NCT100725,Trastuzumab,Covid-19,Novartis,2022-05-18,2024-10-25,,Completed,0.875,891.0
NCT100726,Donepezil,Hypertension,Novartis,2021-12-26,,Phase 1,Withdrawn,0.875,
NCT100727,Remdesivir,Covid-19,Novartis,2024-03-14,2025-06-05,Phase 2,Terminated,1.0,448.0
NCT100728,Trastuzumab,Alzheimer'S Disease,Novartis,2023-09-16,2025-01-01,Phase 4,Withdrawn,1.0,473.0
NCT100729,Donepezil,Diabetes,Sanofi,2021-01-19,2025-01-01,Phase 1,Terminated,1.0,1443.0
NCT100730,Remdesivir,Hypertension,Moderna,2023-11-02,2024-11-15,Phase 2,Terminated,1.0,379.0
NCT100731,Trastuzumab,Hypertension,Pfizer,2021-01-12,2025-03-13,Phase 3,Completed,1.0,1521.0
NCT100732,Metformin,Hypertension,Gsk,2023-12-20,2024-10-04,Phase 3,Withdrawn,1.0,289.0
NCT100733,,Alzheimer'S Disease,Gsk,2023-10-02,2025-02-12,,Recruiting,0.75,499.0
NCT100734,Trastuzumab,Hypertension,Gsk,2022-12-31,2025-03-29,Phase 2,Recruiting,1.0,819.0
NCT100735,Salbutamol,Alzheimer'S Disease,Sanofi,2023-04-07,2025-07-19,Phase 1,Terminated,1.0,834.0
NCT100736,Donepezil,Covid-19,Astrazeneca,2021-05-22,2025-02-11,Phase 1,Withdrawn,1.0,1361.0
NCT100737,Aspirin,Alzheimer'S Disease,Astrazeneca,2023-09-20,2024-10-21,Phase 1,Terminated,1.0,397.0
NCT100738,Aspirin,Diabetes,Sanofi,2022-12-17,2024-11-19,Phase 3,Terminated,1.0,703.0
NCT100739,Metformin,Covid-19,Moderna,2022-09-03,,,Recruiting,0.75,
NCT100740,Aspirin,Breast Cancer,Novartis,2024-06-10,2024-09-18,Phase 3,Recruiting,1.0,100.0
NCT100741,Trastuzumab,Breast Cancer,Sanofi,2023-02-03,2025-04-16,,Completed,0.875,803.0
