study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days,mapped_term,match_score,mapping_status
NCT100404,Salbutamol,Alzheimer'S Disease,Gsk,2021-06-09,2025-07-12,Phase 1,Withdrawn,1.0,1494.0,Salbutamol,100,mapped
NCT100405,Salbutamol,Covid-19,Astrazeneca,2022-04-14,2024-09-05,Phase 1,Recruiting,1.0,875.0,Salbutamol,100,mapped
NCT100406,Aspirin,Hypertension,Sanofi,2022-12-29,,Phase 2,Completed,0.875,,Aspirin,100,mapped
NCT100407,Remdesivir,Diabetes,Pfizer,2023-05-17,2024-10-10,Phase 2,Recruiting,1.0,512.0,Remdesivir,100,mapped
NCT100408,Metformin,Diabetes,Novartis,2020-11-03,2025-07-02,,Withdrawn,0.875,1702.0,Metformin,100,mapped
NCT100409,Remdesivir,Hypertension,Astrazeneca,2022-04-10,2025-03-14,,Withdrawn,0.875,1069.0,Remdesivir,100,mapped
NCT100410,Remdesivir,Diabetes,Pfizer,2023-05-26,2025-02-28,Phase 1,Completed,1.0,644.0,Remdesivir,100,mapped
NCT100411,Donepezil,Diabetes,Novartis,2022-12-16,2025-03-11,Phase 1,Completed,1.0,816.0,Donepezil,100,mapped
NCT100412,Donepezil,Diabetes,Novartis,2023-07-22,,Phase 2,Terminated,0.875,,Donepezil,100,mapped
NCT100413,Metformin,Diabetes,Sanofi,2024-03-18,2025-02-27,,Withdrawn,0.875,346.0,Metformin,100,mapped
NCT100414,Salbutamol,Alzheimer'S Disease,Moderna,2021-09-14,2025-01-16,Phase 1,Completed,1.0,1220.0,Salbutamol,100,mapped
NCT100415,Salbutamol,Alzheimer'S Disease,Moderna,2022-06-05,,Phase 3,Recruiting,0.875,,Salbutamol,100,mapped
NCT100416,Metformin,Hypertension,Gsk,2023-06-24,2025-01-24,Phase 3,Terminated,1.0,580.0,Metformin,100,mapped
NCT100417,Metformin,,Astrazeneca,2022-06-06,,Phase 4,Completed,0.75,,Metformin,100,mapped
NCT100418,Trastuzumab,Alzheimer'S Disease,Moderna,2022-06-05,2025-02-11,,Recruiting,0.875,982.0,Trastuzumab,100,mapped
NCT100419,Donepezil,Asthma,Novartis,2023-08-31,2024-10-03,Phase 1,Terminated,1.0,399.0,Donepezil,100,mapped
NCT100420,Aspirin,Breast Cancer,Moderna,2024-05-16,2025-08-02,,Terminated,0.875,443.0,Aspirin,100,mapped
NCT100421,Trastuzumab,Hypertension,Astrazeneca,2024-02-02,,Phase 4,Completed,0.875,,Trastuzumab,100,mapped
NCT100422,Trastuzumab,Alzheimer'S Disease,Sanofi,2021-11-03,2025-02-28,,Terminated,0.875,1213.0,Trastuzumab,100,mapped
NCT100423,Trastuzumab,Diabetes,Sanofi,2023-03-31,2024-10-21,Phase 1,Completed,1.0,570.0,Trastuzumab,100,mapped
NCT100424,Salbutamol,Alzheimer'S Disease,Novartis,2022-03-14,,Phase 4,Terminated,0.875,,Salbutamol,100,mapped
NCT100425,Trastuzumab,Covid-19,Pfizer,2022-07-04,2025-03-06,Phase 2,Recruiting,1.0,976.0,Trastuzumab,100,mapped
NCT100426,Trastuzumab,Asthma,Novartis,2024-05-12,2025-01-17,,Recruiting,0.875,250.0,Trastuzumab,100,mapped
NCT100427,Donepezil,Asthma,Astrazeneca,2022-07-31,2025-06-30,Phase 2,Completed,1.0,1065.0,Donepezil,100,mapped
NCT100428,Salbutamol,Diabetes,Novartis,2021-06-01,2024-09-22,Phase 3,Completed,1.0,1209.0,Salbutamol,100,mapped
NCT100429,Aspirin,Covid-19,Gsk,2022-01-22,2025-04-13,,Terminated,0.875,1177.0,Aspirin,100,mapped
NCT100430,Metformin,Asthma,Gsk,2023-12-22,,,Completed,0.75,,Metformin,100,mapped
NCT100431,Salbutamol,Asthma,Novartis,2024-07-09,2024-11-02,Phase 2,Withdrawn,1.0,116.0,Salbutamol,100,mapped
NCT100432,Remdesivir,Asthma,Astrazeneca,2022-03-26,2025-07-27,,Terminated,0.875,1219.0,Remdesivir,100,mapped
NCT100433,Metformin,Diabetes,Moderna,2022-10-31,2025-04-21,Phase 4,Terminated,1.0,903.0,Metformin,100,mapped
NCT100434,Trastuzumab,Breast Cancer,Sanofi,2023-01-04,2025-06-17,Phase 3,Recruiting,1.0,895.0,Trastuzumab,100,mapped
NCT100435,Salbutamol,Covid-19,Pfizer,2021-06-25,2025-02-28,Phase 1,Completed,1.0,1344.0,Salbutamol,100,mapped
NCT100436,Metformin,Hypertension,Sanofi,2022-08-03,2025-05-31,Phase 4,Recruiting,1.0,1032.0,Metformin,100,mapped
NCT100437,Trastuzumab,Breast Cancer,Moderna,2020-10-26,,,Completed,0.75,,Trastuzumab,100,mapped
NCT100438,Metformin,Breast Cancer,Moderna,2021-04-16,2024-11-11,,Recruiting,0.875,1305.0,Metformin,100,mapped
NCT100439,Trastuzumab,Covid-19,Pfizer,2024-04-12,2025-01-17,,Recruiting,0.875,280.0,Trastuzumab,100,mapped
NCT100440,Remdesivir,Asthma,Moderna,2022-11-07,2025-05-28,Phase 1,Terminated,1.0,933.0,Remdesivir,100,mapped
NCT100441,Aspirin,Diabetes,Pfizer,2024-05-08,2024-10-16,Phase 4,Recruiting,1.0,161.0,Aspirin,100,mapped
NCT100442,Metformin,Asthma,Sanofi,2020-12-21,2025-07-22,Phase 4,Completed,1.0,1674.0,Metformin,100,mapped
NCT100443,Donepezil,Diabetes,Moderna,2022-10-21,2025-03-08,Phase 3,Terminated,1.0,869.0,Donepezil,100,mapped
NCT100444,Salbutamol,Alzheimer'S Disease,Pfizer,2022-06-08,2025-05-24,Phase 1,Recruiting,1.0,1081.0,Salbutamol,100,mapped
NCT100445,Aspirin,Alzheimer'S Disease,Astrazeneca,2022-01-11,,Phase 2,Terminated,0.875,,Aspirin,100,mapped
NCT100446,Aspirin,Breast Cancer,Astrazeneca,2023-04-01,2025-03-25,Phase 4,Recruiting,1.0,724.0,Aspirin,100,mapped
NCT100447,Remdesivir,,Novartis,2022-08-13,2025-03-29,Phase 4,Recruiting,0.875,959.0,Remdesivir,100,mapped
NCT100448,Donepezil,Alzheimer'S Disease,Gsk,2023-04-23,2024-09-16,,Completed,0.875,512.0,Donepezil,100,mapped
NCT100449,Donepezil,Alzheimer'S Disease,Novartis,2023-01-01,,Phase 3,Completed,0.875,,Donepezil,100,mapped
NCT100450,Salbutamol,Hypertension,Novartis,2023-12-26,2024-10-30,Phase 2,Recruiting,1.0,309.0,Salbutamol,100,mapped
NCT100451,Salbutamol,Hypertension,Pfizer,2022-04-06,2025-06-05,,Terminated,0.875,1156.0,Salbutamol,100,mapped
NCT100452,Metformin,Asthma,Pfizer,2020-10-31,2025-07-03,Phase 2,Terminated,1.0,1706.0,Metformin,100,mapped
NCT100453,Metformin,Covid-19,Pfizer,2023-02-24,,Phase 4,Withdrawn,0.875,,Metformin,100,mapped
NCT100454,Remdesivir,Alzheimer'S Disease,Pfizer,2021-12-13,2024-12-27,Phase 4,Completed,1.0,1110.0,Remdesivir,100,mapped
NCT100455,Remdesivir,Covid-19,Gsk,2021-04-23,2025-01-18,Phase 1,Terminated,1.0,1366.0,Remdesivir,100,mapped
NCT100456,Donepezil,Asthma,Astrazeneca,2024-02-09,,,Completed,0.75,,Donepezil,100,mapped
NCT100457,Aspirin,Breast Cancer,Sanofi,2020-12-11,2024-11-22,Phase 2,Withdrawn,1.0,1442.0,Aspirin,100,mapped
NCT100458,Remdesivir,Covid-19,Gsk,2022-12-31,2025-03-30,Phase 4,Completed,1.0,820.0,Remdesivir,100,mapped
NCT100459,Salbutamol,Covid-19,Sanofi,2022-03-01,2025-01-14,Phase 3,Terminated,1.0,1050.0,Salbutamol,100,mapped
NCT100460,Metformin,Breast Cancer,Sanofi,2024-03-03,2025-02-10,Phase 2,Withdrawn,1.0,344.0,Metformin,100,mapped
NCT100461,Remdesivir,Breast Cancer,Pfizer,2022-11-01,2025-06-24,Phase 3,Completed,1.0,966.0,Remdesivir,100,mapped
NCT100462,Trastuzumab,Asthma,Pfizer,2021-08-16,2025-04-05,Phase 1,Terminated,1.0,1328.0,Trastuzumab,100,mapped
NCT100463,Remdesivir,Alzheimer'S Disease,Novartis,2024-06-04,,Phase 2,Recruiting,0.875,,Remdesivir,100,mapped
NCT100464,Salbutamol,Diabetes,Novartis,2021-12-15,2025-06-26,,Withdrawn,0.875,1289.0,Salbutamol,100,mapped
NCT100465,Donepezil,Covid-19,Novartis,2022-07-13,2025-03-15,,Completed,0.875,976.0,Donepezil,100,mapped
NCT100466,Salbutamol,Alzheimer'S Disease,Pfizer,2020-09-20,2025-04-02,Phase 2,Withdrawn,1.0,1655.0,Salbutamol,100,mapped
NCT100467,Trastuzumab,Alzheimer'S Disease,Novartis,2022-06-03,2024-12-14,Phase 3,Completed,1.0,925.0,Trastuzumab,100,mapped
NCT100468,Salbutamol,Asthma,Pfizer,2021-08-19,2024-12-19,,Recruiting,0.875,1218.0,Salbutamol,100,mapped
NCT100469,Trastuzumab,Breast Cancer,Gsk,2024-01-05,2025-06-11,Phase 4,Recruiting,1.0,523.0,Trastuzumab,100,mapped
NCT100470,Remdesivir,Hypertension,Moderna,2023-11-22,2024-12-09,,Terminated,0.875,383.0,Remdesivir,100,mapped
NCT100471,Trastuzumab,Covid-19,Astrazeneca,2021-05-11,2024-09-22,Phase 1,Completed,1.0,1230.0,Trastuzumab,100,mapped
NCT100472,Donepezil,Asthma,Sanofi,2024-04-17,2025-06-20,Phase 1,Recruiting,1.0,429.0,Donepezil,100,mapped
NCT100473,Donepezil,Breast Cancer,Sanofi,2020-10-09,2025-05-22,,Recruiting,0.875,1686.0,Donepezil,100,mapped
NCT100474,Donepezil,Covid-19,Astrazeneca,2022-06-12,2024-11-22,Phase 3,Recruiting,1.0,894.0,Donepezil,100,mapped
NCT100475,Aspirin,Diabetes,Sanofi,2021-01-29,2024-09-14,Phase 4,Recruiting,1.0,1324.0,Aspirin,100,mapped
NCT100476,Salbutamol,Covid-19,Pfizer,2024-01-25,2025-02-06,Phase 1,Terminated,1.0,378.0,Salbutamol,100,mapped
NCT100477,Salbutamol,Asthma,Sanofi,2023-05-18,,Phase 4,Recruiting,0.875,,Salbutamol,100,mapped
NCT100478,Donepezil,Alzheimer'S Disease,Astrazeneca,2022-10-01,2025-05-16,Phase 4,Terminated,1.0,958.0,Donepezil,100,mapped
NCT100479,Metformin,Breast Cancer,Astrazeneca,2020-10-03,2025-08-05,Phase 3,Completed,1.0,1767.0,Metformin,100,mapped
NCT100480,Donepezil,Hypertension,Pfizer,2021-11-10,2025-06-12,Phase 3,Terminated,1.0,1310.0,Donepezil,100,mapped
NCT100481,Trastuzumab,Asthma,Moderna,2022-05-12,2024-09-28,Phase 4,Completed,1.0,870.0,Trastuzumab,100,mapped
NCT100482,Salbutamol,Hypertension,Pfizer,2020-08-07,,Phase 3,Terminated,0.875,,Salbutamol,100,mapped
NCT100483,Metformin,Alzheimer'S Disease,Gsk,2021-09-26,2024-09-15,Phase 1,Terminated,1.0,1085.0,Metformin,100,mapped
NCT100484,Salbutamol,Diabetes,Astrazeneca,2020-08-08,2025-04-16,Phase 4,Completed,1.0,1712.0,Salbutamol,100,mapped
NCT100485,Donepezil,Alzheimer'S Disease,Novartis,2021-12-27,2025-06-18,,Completed,0.875,1269.0,Donepezil,100,mapped
NCT100486,Trastuzumab,Asthma,Astrazeneca,2022-10-17,,Phase 2,Terminated,0.875,,Trastuzumab,100,mapped
NCT100487,Metformin,Covid-19,Sanofi,2021-05-28,2025-03-23,Phase 1,Terminated,1.0,1395.0,Metformin,100,mapped
NCT100488,Salbutamol,Asthma,Astrazeneca,2021-05-21,2025-01-15,,Recruiting,0.875,1335.0,Salbutamol,100,mapped
NCT100489,Trastuzumab,Asthma,Sanofi,2023-02-11,,Phase 4,Completed,0.875,,Trastuzumab,100,mapped
NCT100490,Donepezil,Hypertension,Pfizer,2021-10-19,2025-07-14,Phase 3,Withdrawn,1.0,1364.0,Donepezil,100,mapped
NCT100491,Salbutamol,Alzheimer'S Disease,Pfizer,2022-01-26,2025-06-08,Phase 1,Terminated,1.0,1229.0,Salbutamol,100,mapped
NCT100492,Metformin,Asthma,Novartis,2021-01-16,2024-08-09,Phase 2,Recruiting,1.0,1301.0,Metformin,100,mapped
NCT100493,Metformin,Diabetes,Sanofi,2023-07-01,,,Completed,0.75,,Metformin,100,mapped
NCT100494,Salbutamol,Alzheimer'S Disease,Novartis,2021-02-25,2024-10-26,Phase 3,Terminated,1.0,1339.0,Salbutamol,100,mapped
NCT100495,Trastuzumab,Asthma,Novartis,2020-12-15,2024-10-17,Phase 4,Terminated,1.0,1402.0,Trastuzumab,100,mapped
NCT100496,Salbutamol,Breast Cancer,Moderna,2020-08-10,2024-10-06,Phase 1,Recruiting,1.0,1518.0,Salbutamol,100,mapped
NCT100497,Salbutamol,Covid-19,Pfizer,2024-03-19,2025-05-18,Phase 1,Recruiting,1.0,425.0,Salbutamol,100,mapped
NCT100498,Aspirin,Covid-19,Novartis,2024-05-27,2025-02-16,Phase 2,Recruiting,1.0,265.0,Aspirin,100,mapped
NCT100499,Trastuzumab,Covid-19,Pfizer,2022-10-24,2024-09-21,,Terminated,0.875,698.0,Trastuzumab,100,mapped
NCT100500,Remdesivir,Hypertension,Astrazeneca,2022-04-21,,,Withdrawn,0.75,,Remdesivir,100,mapped
NCT100501,Remdesivir,Covid-19,Astrazeneca,2024-08-01,2025-03-19,,Withdrawn,0.875,230.0,Remdesivir,100,mapped
NCT100502,Metformin,Alzheimer'S Disease,Sanofi,2022-04-07,2025-05-04,Phase 4,Terminated,1.0,1123.0,Metformin,100,mapped
NCT100503,Aspirin,Hypertension,Gsk,2022-03-03,2024-11-04,Phase 4,Completed,1.0,977.0,Aspirin,100,mapped
NCT100504,,Hypertension,Astrazeneca,2021-11-23,2024-09-22,Phase 3,Terminated,0.875,1034.0,Metformin,45,low_score
NCT100505,Metformin,Diabetes,Gsk,2022-12-08,2025-07-08,Phase 1,Withdrawn,1.0,943.0,Metformin,100,mapped
NCT100506,Remdesivir,Asthma,Pfizer,2023-09-07,2024-12-14,Phase 1,Withdrawn,1.0,464.0,Remdesivir,100,mapped
NCT100507,,Covid-19,Novartis,2021-06-18,2025-02-14,Phase 3,Recruiting,0.875,1337.0,Metformin,45,low_score
NCT100508,Aspirin,Covid-19,Sanofi,2024-03-23,,Phase 3,Completed,0.875,,Aspirin,100,mapped
NCT100509,Metformin,Breast Cancer,Pfizer,2021-09-11,2025-03-25,Phase 3,Recruiting,1.0,1291.0,Metformin,100,mapped
NCT100510,Donepezil,,Gsk,2022-02-10,2025-04-28,Phase 1,Terminated,0.875,1173.0,Donepezil,100,mapped
NCT100511,Trastuzumab,Diabetes,Novartis,2023-03-07,2024-09-11,,Completed,0.875,554.0,Trastuzumab,100,mapped
NCT100512,Remdesivir,Alzheimer'S Disease,Sanofi,2022-03-11,2024-08-10,Phase 2,Withdrawn,1.0,883.0,Remdesivir,100,mapped
NCT100513,Donepezil,Asthma,Sanofi,2023-11-24,2025-03-12,,Terminated,0.875,474.0,Donepezil,100,mapped
NCT100514,Donepezil,Alzheimer'S Disease,Pfizer,2023-07-10,2024-08-11,Phase 4,Recruiting,1.0,398.0,Donepezil,100,mapped
NCT100515,Remdesivir,Asthma,Moderna,2022-10-22,2025-05-23,Phase 3,Completed,1.0,944.0,Remdesivir,100,mapped
NCT100516,Metformin,Breast Cancer,Novartis,2023-04-13,2024-11-29,Phase 3,Withdrawn,1.0,596.0,Metformin,100,mapped
NCT100517,Metformin,Asthma,Sanofi,2022-02-26,2025-02-24,Phase 4,Recruiting,1.0,1094.0,Metformin,100,mapped
NCT100518,Salbutamol,Covid-19,Astrazeneca,2024-06-17,,Phase 1,Withdrawn,0.875,,Salbutamol,100,mapped
NCT100519,Salbutamol,Hypertension,Sanofi,2020-11-09,2024-12-05,,Recruiting,0.875,1487.0,Salbutamol,100,mapped
NCT100520,Aspirin,Asthma,Astrazeneca,2023-05-21,2024-08-09,Phase 1,Terminated,1.0,446.0,Aspirin,100,mapped
NCT100521,Salbutamol,Covid-19,Sanofi,2022-01-29,2024-09-18,Phase 1,Withdrawn,1.0,963.0,Salbutamol,100,mapped
NCT100522,Trastuzumab,Hypertension,Gsk,2023-04-11,,,Withdrawn,0.75,,Trastuzumab,100,mapped
NCT100523,Remdesivir,Alzheimer'S Disease,Gsk,2023-08-25,,Phase 1,Recruiting,0.875,,Remdesivir,100,mapped
NCT100524,Trastuzumab,Alzheimer'S Disease,Astrazeneca,2021-01-17,2024-12-17,Phase 4,Terminated,1.0,1430.0,Trastuzumab,100,mapped
NCT100525,Aspirin,,Pfizer,2022-06-25,,Phase 4,Completed,0.75,,Aspirin,100,mapped
NCT100526,Remdesivir,,Novartis,2022-01-29,2024-10-13,Phase 3,Terminated,0.875,988.0,Remdesivir,100,mapped
NCT100527,Aspirin,Diabetes,Novartis,2021-10-22,,Phase 1,Recruiting,0.875,,Aspirin,100,mapped
NCT100528,Metformin,Covid-19,Sanofi,2022-02-26,2025-05-25,Phase 3,Withdrawn,1.0,1184.0,Metformin,100,mapped
NCT100529,Aspirin,Asthma,Astrazeneca,2021-05-16,2025-01-30,Phase 4,Recruiting,1.0,1355.0,Aspirin,100,mapped
NCT100530,,Diabetes,Gsk,2020-11-12,2024-10-08,,Completed,0.75,1426.0,Metformin,45,low_score
NCT100531,Aspirin,Breast Cancer,Astrazeneca,2022-07-28,2024-11-13,Phase 4,Withdrawn,1.0,839.0,Aspirin,100,mapped
NCT100532,Trastuzumab,Hypertension,Novartis,2024-06-24,,Phase 2,Terminated,0.875,,Trastuzumab,100,mapped
NCT100533,Salbutamol,Hypertension,Novartis,2023-11-12,,Phase 4,Recruiting,0.875,,Salbutamol,100,mapped
NCT100534,Metformin,Alzheimer'S Disease,Pfizer,2023-02-06,2024-12-12,,Withdrawn,0.875,675.0,Metformin,100,mapped
NCT100535,Remdesivir,Breast Cancer,Pfizer,2024-05-17,2025-07-14,Phase 1,Recruiting,1.0,423.0,Remdesivir,100,mapped
NCT100536,Aspirin,Alzheimer'S Disease,Pfizer,2022-07-15,2024-10-12,Phase 4,Terminated,1.0,820.0,Aspirin,100,mapped
NCT100537,Remdesivir,Breast Cancer,Gsk,2024-03-05,2025-01-30,Phase 1,Terminated,1.0,331.0,Remdesivir,100,mapped
NCT100538,Metformin,Alzheimer'S Disease,Astrazeneca,2022-12-06,,Phase 2,Recruiting,0.875,,Metformin,100,mapped
NCT100539,Aspirin,Breast Cancer,Moderna,2023-11-13,,Phase 3,Recruiting,0.875,,Aspirin,100,mapped
NCT100540,Aspirin,Breast Cancer,Novartis,2023-03-13,,Phase 4,Completed,0.875,,Aspirin,100,mapped
NCT100541,Remdesivir,Breast Cancer,Moderna,2022-10-10,2025-04-30,Phase 4,Withdrawn,1.0,933.0,Remdesivir,100,mapped
NCT100542,Aspirin,Covid-19,Sanofi,2024-04-24,2025-02-16,,Terminated,0.875,298.0,Aspirin,100,mapped
NCT100543,Metformin,Covid-19,Novartis,2021-10-09,2024-09-11,Phase 1,Withdrawn,1.0,1068.0,Metformin,100,mapped
NCT100544,Trastuzumab,Alzheimer'S Disease,Gsk,2020-10-31,2024-10-29,Phase 4,Recruiting,1.0,1459.0,Trastuzumab,100,mapped
NCT100545,Trastuzumab,Breast Cancer,Pfizer,2022-08-16,,Phase 3,Completed,0.875,,Trastuzumab,100,mapped
NCT100546,Trastuzumab,Alzheimer'S Disease,Gsk,2021-11-01,2025-06-01,Phase 2,Withdrawn,1.0,1308.0,Trastuzumab,100,mapped
NCT100547,Remdesivir,,Moderna,2024-04-07,2025-06-17,,Recruiting,0.75,436.0,Remdesivir,100,mapped
NCT100548,Metformin,Breast Cancer,Pfizer,2021-04-16,2024-10-30,Phase 3,Completed,1.0,1293.0,Metformin,100,mapped
NCT100549,Metformin,Alzheimer'S Disease,Pfizer,2021-11-29,2025-05-29,Phase 2,Completed,1.0,1277.0,Metformin,100,mapped
NCT100550,Remdesivir,Breast Cancer,Novartis,2024-06-19,2025-01-09,Phase 3,Completed,1.0,204.0,Remdesivir,100,mapped
NCT100551,Aspirin,Covid-19,Pfizer,2021-07-15,2024-11-02,Phase 2,Completed,1.0,1206.0,Aspirin,100,mapped
NCT100552,Metformin,Covid-19,Novartis,2021-06-30,2025-05-18,Phase 3,Recruiting,1.0,1418.0,Metformin,100,mapped
NCT100553,Remdesivir,Asthma,Moderna,2020-11-16,2024-08-15,Phase 2,Completed,1.0,1368.0,Remdesivir,100,mapped
NCT100554,Metformin,Breast Cancer,Novartis,2022-04-08,2025-07-22,Phase 2,Recruiting,1.0,1201.0,Metformin,100,mapped
NCT100555,Remdesivir,Hypertension,Gsk,2022-09-11,2025-04-26,Phase 3,Terminated,1.0,958.0,Remdesivir,100,mapped
NCT100556,Remdesivir,Alzheimer'S Disease,Moderna,2023-04-22,2025-05-31,,Completed,0.875,770.0,Remdesivir,100,mapped
NCT100557,Donepezil,Breast Cancer,Gsk,2023-02-25,2025-02-08,Phase 3,Withdrawn,1.0,714.0,Donepezil,100,mapped
NCT100558,Donepezil,Alzheimer'S Disease,Astrazeneca,2023-11-03,,Phase 2,Recruiting,0.875,,Donepezil,100,mapped
NCT100559,Salbutamol,Diabetes,Sanofi,2022-05-25,2025-08-03,,Withdrawn,0.875,1166.0,Salbutamol,100,mapped
NCT100560,Salbutamol,Hypertension,Astrazeneca,2021-04-23,2024-08-13,Phase 4,Withdrawn,1.0,1208.0,Salbutamol,100,mapped
NCT100561,Remdesivir,Breast Cancer,Novartis,2024-07-01,2025-04-10,Phase 1,Completed,1.0,283.0,Remdesivir,100,mapped
NCT100562,Metformin,Asthma,Pfizer,2020-12-26,2025-03-31,,Terminated,0.875,1556.0,Metformin,100,mapped
NCT100563,Trastuzumab,Breast Cancer,Gsk,2021-12-10,,,Terminated,0.75,,Trastuzumab,100,mapped
NCT100564,Trastuzumab,,Astrazeneca,2022-04-13,2025-03-04,Phase 4,Recruiting,0.875,1056.0,Trastuzumab,100,mapped
NCT100565,Salbutamol,Breast Cancer,Pfizer,2020-12-01,2025-01-29,Phase 3,Terminated,1.0,1520.0,Salbutamol,100,mapped
NCT100566,Donepezil,Asthma,Astrazeneca,2021-12-13,2024-12-13,,Completed,0.875,1096.0,Donepezil,100,mapped
NCT100567,Aspirin,Diabetes,Sanofi,2023-10-20,2025-03-01,Phase 2,Withdrawn,1.0,498.0,Aspirin,100,mapped
NCT100568,Remdesivir,Breast Cancer,Sanofi,2022-11-15,2025-05-14,,Withdrawn,0.875,911.0,Remdesivir,100,mapped
NCT100569,Metformin,Hypertension,Pfizer,2021-06-01,2025-07-14,Phase 1,Withdrawn,1.0,1504.0,Metformin,100,mapped
NCT100570,Salbutamol,Alzheimer'S Disease,Pfizer,2022-03-03,2025-06-24,Phase 4,Recruiting,1.0,1209.0,Salbutamol,100,mapped
NCT100571,Salbutamol,Alzheimer'S Disease,Moderna,2024-05-15,2025-07-25,Phase 1,Withdrawn,1.0,436.0,Salbutamol,100,mapped
NCT100572,Salbutamol,Covid-19,Sanofi,2020-12-08,,,Completed,0.75,,Salbutamol,100,mapped
NCT100573,Metformin,Hypertension,Pfizer,2022-05-25,2024-10-26,Phase 1,Terminated,1.0,885.0,Metformin,100,mapped
NCT100574,Donepezil,Breast Cancer,Gsk,2021-11-12,2024-11-29,,Terminated,0.875,1113.0,Donepezil,100,mapped
NCT100575,Salbutamol,Alzheimer'S Disease,Novartis,2023-06-15,2024-12-29,,Recruiting,0.875,563.0,Salbutamol,100,mapped
NCT100576,Metformin,Diabetes,Moderna,2023-07-23,2024-08-21,Phase 4,Recruiting,1.0,395.0,Metformin,100,mapped
NCT100577,Salbutamol,Asthma,Moderna,2022-05-22,2024-10-14,Phase 4,Terminated,1.0,876.0,Salbutamol,100,mapped
NCT100578,Salbutamol,Hypertension,Gsk,2021-12-26,2025-03-05,Phase 3,Terminated,1.0,1165.0,Salbutamol,100,mapped
NCT100579,Salbutamol,Alzheimer'S Disease,Moderna,2023-05-22,,Phase 1,Terminated,0.875,,Salbutamol,100,mapped
NCT100580,Trastuzumab,Diabetes,Novartis,2024-04-22,2024-11-09,Phase 2,Completed,1.0,201.0,Trastuzumab,100,mapped
NCT100581,Salbutamol,Breast Cancer,Pfizer,2021-04-21,,Phase 4,Withdrawn,0.875,,Salbutamol,100,mapped
NCT100582,Remdesivir,Diabetes,Astrazeneca,2020-11-28,,Phase 2,Recruiting,0.875,,Remdesivir,100,mapped
NCT100583,Salbutamol,Asthma,Gsk,2021-06-03,2025-05-30,Phase 2,Completed,1.0,1457.0,Salbutamol,100,mapped
NCT100584,Donepezil,Hypertension,Astrazeneca,2022-01-16,2024-08-18,Phase 2,Completed,1.0,945.0,Donepezil,100,mapped
NCT100585,Remdesivir,Diabetes,Sanofi,2023-04-03,,,Recruiting,0.75,,Remdesivir,100,mapped
NCT100586,,Breast Cancer,Pfizer,2021-02-08,2024-09-06,Phase 1,Completed,0.875,1306.0,Metformin,45,low_score
NCT100587,Trastuzumab,Breast Cancer,Novartis,2024-02-22,2024-09-06,Phase 4,Withdrawn,1.0,197.0,Trastuzumab,100,mapped
NCT100588,Salbutamol,Hypertension,Novartis,2023-06-20,,,Recruiting,0.75,,Salbutamol,100,mapped
NCT100589,Metformin,Hypertension,Novartis,2024-04-06,2024-09-11,Phase 1,Terminated,1.0,158.0,Metformin,100,mapped
NCT100590,Aspirin,Hypertension,Sanofi,2020-11-29,2025-07-08,Phase 1,Withdrawn,1.0,1682.0,Aspirin,100,mapped
NCT100591,Donepezil,Asthma,Astrazeneca,2023-06-15,2024-12-04,Phase 3,Withdrawn,1.0,538.0,Donepezil,100,mapped
NCT100592,Salbutamol,Asthma,Astrazeneca,2020-11-23,2024-12-05,Phase 3,Withdrawn,1.0,1473.0,Salbutamol,100,mapped
NCT100593,Aspirin,Hypertension,Moderna,2024-01-21,2024-08-13,Phase 1,Withdrawn,1.0,205.0,Aspirin,100,mapped
NCT100594,Aspirin,Covid-19,Moderna,2020-10-08,2024-10-19,Phase 3,Terminated,1.0,1472.0,Aspirin,100,mapped
NCT100595,Trastuzumab,Breast Cancer,Sanofi,2022-06-08,2024-12-23,Phase 4,Terminated,1.0,929.0,Trastuzumab,100,mapped
NCT100596,,Covid-19,Moderna,2022-03-17,2025-04-24,,Withdrawn,0.75,1134.0,Metformin,45,low_score
NCT100597,Aspirin,Hypertension,Astrazeneca,2021-11-07,2025-03-22,,Terminated,0.875,1231.0,Aspirin,100,mapped
NCT100598,Salbutamol,Asthma,Pfizer,2022-07-03,2024-09-03,,Withdrawn,0.875,793.0,Salbutamol,100,mapped
NCT100599,,Hypertension,Moderna,2022-03-16,2025-01-21,Phase 1,Completed,0.875,1042.0,Metformin,45,low_score
NCT100600,Aspirin,Alzheimer'S Disease,Pfizer,2022-08-30,2024-08-20,Phase 4,Completed,1.0,721.0,Aspirin,100,mapped
NCT100601,Remdesivir,Hypertension,Sanofi,2023-02-19,,Phase 4,Terminated,0.875,,Remdesivir,100,mapped
NCT100602,Trastuzumab,Covid-19,Moderna,2024-07-02,2025-01-11,Phase 1,Terminated,1.0,193.0,Trastuzumab,100,mapped
NCT100603,,Alzheimer'S Disease,Sanofi,2023-12-07,2025-06-20,,Terminated,0.75,561.0,Metformin,45,low_score
NCT100604,Donepezil,Hypertension,Novartis,2021-08-15,2025-03-08,,Completed,0.875,1301.0,Donepezil,100,mapped
NCT100605,Salbutamol,Diabetes,Sanofi,2023-02-11,2024-12-13,Phase 4,Recruiting,1.0,671.0,Salbutamol,100,mapped
NCT100606,Metformin,Breast Cancer,Gsk,2021-02-13,2024-10-19,,Completed,0.875,1344.0,Metformin,100,mapped
